Unnamed: 0,elbow,shoulder,hip,knee,elbow_std,shoulder_std,hip_std,knee_std
0,178.72,3.79,173.07,154.96,,,,
1,179.47,3.76,172.84,156.48,,,,
2,179.77,8.37,170.41,154.3,,,,
3,176.93,5.38,169.27,148.11,,,,
4,167.84,4.8,166.24,138.97,4.990293578538235,1.89083314969883,2.8133307661915428,7.2236507390653895
5,165.68,2.83,162.93,127.93,6.688562625856162,2.108546893004753,3.8431068161059296,11.78530313568555
6,164.14,23.33,159.2,130.05,7.023949743555958,8.284658713550003,4.612564362694551,11.357029541213649
7,169.57,26.54,157.02,126.7,4.976351072824312,11.378432668869644,4.9998169966509405,9.067950154252017
8,169.26,28.62,153.11,123.16,2.3396623688044453,12.404464115793152,5.100612708292935,5.924286454924234
9,173.25,28.6,170.94,156.37,3.576835193295833,10.92305497560092,6.767809837753966,13.388008440391694
10,173.52,28.88,170.3,149.88,3.808263383748511,2.356433746151171,8.068784295047141,14.889260223395915
11,173.85,28.51,169.05,142.93,2.271970510371905,0.9547250913221245,8.376056948230438,14.443575388386362
12,172.06,28.43,168.19,135.13,1.8744252452417363,0.1699117417956684,7.460540865111554,12.945255115292264
13,168.19,28.41,169.2,118.12,2.327215073859645,0.19086644545345796,1.0857854299997305,14.79397275920164
14,167.47,27.54,169.88,101.48,2.9979943295476117,0.4930821432581365,0.8121145239433202,19.6343492380063
15,166.12,26.52,169.23,91.69,3.268420107636063,0.858120038223114,0.6052685354449469,21.67947301020016
16,168.71,24.57,168.95,84.08,2.2101244308861525,1.6136697307689825,0.6093849358161644,20.622161622875414
17,169.23,23.83,167.13,84.88,1.2096197749705728,1.9398788621973393,1.035890920898367,14.174177224798429
18,163.2,23.4,141.36,123.84,2.4144212557049642,1.7838077250645714,12.312755581103664,16.449047996768524
19,165.37,24.32,140.38,120.6,2.4821825073914194,1.2013201072154078,15.12436610241896,19.612756563012628
20,168.77,20.2,153.74,119.9,2.6509960392275125,1.7711380522138969,13.6084007142647,20.30393065393978
21,169.29,20.56,163.51,155.91,2.7522209213651343,1.9324647474145646,12.300078455034349,25.163439351567117
22,171.09,20.75,165.79,166.18,3.1907021170895837,1.8774930093079014,11.930382642648148,22.04091150565234
23,170.83,21.36,166.99,170.97,2.291636969504523,1.6649984984978337,11.185288105364107,24.76275772203084
24,176.11,22.94,164.67,167.27,2.9072529989665155,1.0791292786316382,5.302895435514375,20.96397934553453
25,164.72,23.28,171.18,171.53,4.085317613111598,1.2571077917187696,2.954220709425587,6.285763279029746
26,171.72,29.7,170.7,173.71,4.063548941504188,3.5667884714403857,2.9285542508205156,3.125223192029476
27,176.92,19.42,139.76,41.24,4.886875279767195,3.8697545141778744,13.080816106038618,58.01857616315655
28,176.56,16.72,125.51,71.62,5.188851510690939,4.886155953303172,20.6257516226682,63.61916480118233
29,171.91,18.44,98.12,127.9,4.9349549136744555,5.170736891391789,31.117036812652987,59.3866083389176
30,165.77,18.4,95.51,110.64,4.534327954614621,5.213969696881639,31.203245824753587,51.12935379994545
31,166.85,25.93,92.89,96.69,5.2333421443662225,3.571263081880137,21.03225784360784,33.99194051536327
32,173.11,29.67,89.46,108.02,4.490022271659653,5.648997256150868,14.453842741638109,20.78519376864204
33,171.87,28.07,97.46,103.47,3.3385805366951566,5.353977026472943,3.5603047622366875,11.644583719480753
34,172.79,14.2,108.04,100.81,3.490633180384288,6.653121823625361,7.027074071048708,5.570361747678138
35,163.59,8.97,116.82,106.11,4.22264372165113,9.216052300198823,11.305833892287849,4.463843635253791
36,164.48,6.78,118.0,103.97,4.718328093721303,10.705090845013878,12.366562982494532,2.7357594923523223
37,171.9,9.07,112.27,107.07,4.491161319747896,8.631996872103226,8.297844298370721,2.4457064419091337
38,173.73,18.53,102.44,113.98,4.858021202094492,4.777410386391339,6.426498268886667,4.877029833822629
39,173.34,17.71,101.64,120.53,4.961972390088403,5.478012413275445,7.785157673419561,6.823636860208508
40,174.26,13.06,114.0,101.38,4.04375073415753,5.169559942586977,7.274125376978564,7.811634272032722
41,170.25,3.31,144.12,77.21,1.623770303952967,6.322679811598865,17.267124253911042,16.634519229601917
42,165.65,3.52,142.97,74.05,3.5967527020910777,7.429665537559537,21.127545527107547,21.086653361783032
43,164.63,8.24,148.18,75.79,4.371090253014629,6.228777568672669,20.965636646665445,20.501705294925962
44,159.09,5.62,150.89,74.6,5.7668604977057845,4.049061619684215,14.893746002936934,11.676246400277574
45,158.49,16.81,166.72,73.45,4.897338052452503,5.5712341541170005,9.565554348807959,1.4975980769201624
46,157.14,15.87,166.8,77.15,3.8615799875179557,6.022970197502209,11.007509709284767,1.4757438802160028
47,154.31,14.45,161.73,102.09,3.7769590942978213,4.968940530938143,8.812538226867325,12.082838242730679
48,153.56,11.45,151.28,169.54,2.4756756653485277,4.516480930990393,7.938679361203463,40.95837801964325
49,159.04,10.22,142.44,159.66,2.462756585616786,2.832772493512295,10.65892958978518,45.51188273407282
50,152.95,5.22,145.7,169.76,2.5910133152878267,4.149152925598167,10.40041345331996,43.11910075592945
51,155.49,2.08,145.55,160.14,2.4129546203770205,4.971642585705431,7.623965503594527,28.45491732548167
52,147.87,1.03,158.37,171.83,4.069922603686556,4.695386033118017,6.290275828610342,5.809912219646424
53,138.09,9.14,161.81,179.86,8.132995758021679,4.1011120443118525,8.68883939315253,8.506597439634533
54,130.67,18.22,159.16,163.79,10.42323750089187,6.953209330949253,7.857185882998999,7.618085717553769
55,120.73,26.27,164.66,171.43,13.7266383357324,10.806510537634237,7.336828333823692,7.6918235809199835
56,118.08,27.35,164.78,163.37,12.322078558425032,11.286898156712494,2.991024907953414,6.80291702139579
57,117.78,29.5,168.02,166.78,8.968280214176927,8.407248658152081,3.35160856903032,6.848418065509478
58,113.78,36.15,168.84,168.0,6.353516349235036,6.451284368247925,3.8109473887731955,3.3023824733056943
59,112.56,43.16,170.03,166.69,3.3508476539521688,7.093879756522526,2.4319292752867647,2.8992981909414857
60,118.81,46.21,167.34,163.46,2.82616701558785,8.238345100807576,1.9643624920051532,2.1139418156601772
61,137.2,52.44,167.52,164.44,9.952677026810262,8.905693122941095,1.104581368662622,1.8634859806278776
62,172.24,49.29,171.38,168.87,25.121216531051946,6.243344456299077,1.7098596433615427,2.3006455615754065
63,172.26,48.83,173.63,169.95,28.52967718008737,3.489101603565091,2.6601785654343315,2.778267445728827
